1,0, Happy birthday  
2,1,Brawl Heads taking over  cartoons  
3,1,Bowl  Cinnamon Toast Crunch into Reeses Puffs  godlike That cinnamon  peanut butter  something  behold 
4,0, Vile 
5,1,This lad right here makes some bomb mojitos  
6,1,  Its  good game 
7,0,  Ill look into these Thanks for all   suggestions 
8,1,  Been looking  Wingspan  bitI have  Wonders Duel and  Little Scythe Both are dope and  are the big boy gamesI havent played Terraforming Mars  Mysterium but they are definitely  the radarHavent heard much  Betrayal 
9,1, Housemate has Resistance and  played  years ago Cant remember too much  itPlayed Coup last semester and  was  fun hidden role game 
10,0,  the radar  
11,1, Very fun game 
12,1,Ive been getting sucked into board games more recently Theres some real bangers out thereAny recommendations 
13,0, Commitment 
14,0, Where  the figure collection 
15,0,First step   happy relationship  shutting the toilet seat 
16,0,The first person who said ATM Machine doomed  all 
17,0, Thank goodness  isnt Gen  
18,0, Thanks Ill try  remember  bring that   the future 
19,0, Thanks 
20,1, Very large  indeed 
21,1, PogFish PoggersFish 
22,0, Thanks dude 
23,0, Thanks kid 
24,0, Much appreciated  
25,0, Thanks man 
26,0, Thanks king 
27,0, Thankies 
28,0,Times like these really make  cherish the local scenes  MissouriThank you all for being good people 
29,1, barely play Smash anyone but  still regret saying  Night  that  Rool   well designed heavy 
30,0,Pellet Ice  under appreciated 
31,1,Shout out  gamer dads 
32,0,Allergy season has begun 
33,0,  also used Weebly Lets goIt got banned  time but they banned all  weebly but our web design class used Weebly  they unbanned  
34,1,Shout out  when  was  high school and  made  flash game site with the sole purpose  getting  banned Good times 
35,1,  poop funny 
36,0,Razz Cran and Pineapple Strawberry have been purchased and tastedWatermelon still the king  
37,1, Ooga booga  have edgy opinion 
38,0,  was looking  trying Strawberry Lime  Cran Raspberry next 
39,0, Just give   try 
40,0, But  tastes good  
41,0,Watermelon changed the game  
42,1,Falco Players using multihits  
43,0, Cocobad more like  
44,0, Ive only had the Cherry Lime   will try Strawberry  Lime soon  
45,0, This seems like  deep rabbit hole 
46,0, bought  box   Croix   half baked meme  and  started  see the appeal and  want  try more flavorsHelp 
47,1,Valorant may have Malware attached but its  refreshing experience  
48,1,This break from Smash has been fantastic for  Hope  come back next semester and get rocked  the people that are still grinding 
49,0, That was the plan  
50,0,Got   but  does show that  uploaded the solution manual   
51,0,Pretzels  Cream Cheese are gonna get  through this 
52,0,Still shaking  the fact that  submitted the solution manual instead   homework today  
53,0,Quarantine has  cooking again   
54,1,Went  day without leagueRemembered  name was isaac and  have lightning bonesCriedPenis feels bigger 
55,1, Massive  
56,0, Reyes dont   Part like this 
57,0, Quarantine got  all feeling some kinda way 
58,0,Still dont know what this means  
59,0,   sorry 
60,1,Played    hours  Animal Crossing today Its  dang good 
61,1,  stuck   everflowing state  alcoholism and sobriety 
62,0, truly  the day  reckoning 
63,1, Add   since  got permad    
64,0, Its not water 
65,0, Youve seen  list  good mons 
66,1,  Sober gang rise  
67,0, deserves nothing and  knows   
68,0,Shout out  the kings out there 
69,0, regret  inform you all that Master Mines    has been canceled due  COVIDOur school Missouri SampT announced this morning that all school sponsored events are   canceled for the foreseeable futureI  truly sorry about this but well see you all again 
70,0, year anniversary today  
71,0, got iced 
72,1,Cumb 
73,0, have elected  wearing  Santa hat when  party 
74,0, Filthy Samus cheeser   cool movement elsewhere 
