1,1,Fortnite Glitchcon event   and  Fall guys Finals tonight 
2,1,Blown away  how awesome this   Seriously thank you  much for this Going   chilling   all day tomorrow  between fun Glitchcon stuff  stream   
3,1,Twitch Rivals GlitchCon  lets  this Tune  Saturday     and watch all day long  see  take  the best  the best for KGlitchconMetasad   
4,1,   grinding all night  Clutches  taps and  shots being missed here 
5,1,Valorant Ranked grind and pokemon  PVP 
6,1,BRO HAHA its all good  the past  had all  lineups with weird lines and spots  the map Now  use the HUD and its  easier  was trying   those  ways from  old memory   
7,1, have the best Cypher  ways  
8,0,Looking fresh man  
9,1,Valorant ranked all night  
10,1,PENTAAAAAAAAA KIIIIIIIIIIIIRRRRRRRRR  
11,1, NOT FKN LOSING  
12,1,OMG  have  and    Super team for Glitch con LFGGGGGGGGGGGG 
13,0,     
14,1,Schedulestream  going   weird today but one thing  surely happening Valorant Radiant wins Pokemon  PVP victories and  screaming everytime  get  tapped  
15,1,fun fact two years ago today  saw  advertising fortnite  every social media platform ampamp  every store  the point where  finally made  twitch ampamp made this twitter accountso happy two years   being around twitch courtesy  ninja lol  
16,1,This  what  live for Competition and challenges First ever TAC FPS that  tried  GET GOOD KHED and play seriosuly and the progress  clear Put the Timein and you can achieve anything   all believe  yourself  
17,1, love Qing into some ranked Valorant after the Lions BLOW OUT there opponent   Sunday afternoon  
18,0,Day   trying  get   notice   
19,0,Give  serious ideas  what  should get  for Christmas 
20,0,  She wants  birthday gift not  make  divorce her for you  
21,0,  NOTICED BRO  SORRY  TOOK   SECOND  SEE  LOVE AND APPRECIATE   
22,0,  Ninja has  million number  fans   one  them  Ninja has ten fans   one  them  Ninja has  fans that means    more  the earth 
23,0, Hex and icywind start with drif and keep him   Skarmory and spam icy wind off cool down defend against first sky attack and then let second hit youll survive cuz   icy winds  Uour opponent starts with aerodactyl swap  skarm immediately Make sure skar has ironwing 
24,1,Top tier flying cup team Drifblim Aerodactyl Skarmory      game win streak   wifes account  unfortunately dont have  aerodactyl below   gtgt 
25,1,stream resumes tomorrow InterviewPR day today and  bunch  meeeeeetings FORTNITE with   the   
26,1,Pokemon  PVP and Valorant Radiant gameplay 
27,1,Greatest Pokemon  pvperRadiant Valorant player  the world LIVE 
28,0,one  the craziest experiences   lifethank you thank you thank you see you  the first strike qualifier   
29,0, have  visitor  stream today   
30,1, liveeeeee Playing DBD with  super fun crew       
31,0, LIVE NOW  Excited  play DeadbyDaylight with  and  See you there sponsored   
32,0,Live all night  
33,0,Grind 
34,0,Tomorrow  noon Eastern flip things upside down with Stranger Things star Gaten Matarazzo special guests   and Fog Whisperers    
35,1,The Taco Bell  Grayslake hits different Not sure  its because  just grew  here its not but the Baja blast  always fresh and the food always perfect Never get  stale taco  jipped  sauce Just thought  would share this  have  good night 
36,1,Valorant Ranked grind 
37,1,  excited   playing Dead  Daylight  Halloween with  and  and then playing  the Rivals tourney after  Saturday  going   lit  
38,1,Valorant ranked all day  
39,1,Plz  let  play more PvP matches even   cant earn rewards they are  fun and  wanna perfect  Halloween team  
40,1,was chillin   alt then  raids out  nowhere and gifts  subs  your generosity  contagious and  cant wait  pass    the future thank you  much  means  much after today obligatory clip from the stream   
41,0, lost this game but got  back  back  after this  
42,1,Why  there  PvP cap  Pokmon  Just cap the rewards  anything 
43,0, Can you open DMs quick 
44,1,Valorant ranked and pokemon  PVP Big chill 
45,1,  aHeMAs  matter  fact  good person Tyler Ninja Blevins  popular Internet personality and content creator did indeed ask his community    have caught  strong  event Pokmon yet for example  Squirtle  Charmander   PikachuGood day 
46,0,You saw the playYou heard the callBut the reactions Priceless  
47,1,TimeIn  also looking for  coach  help  out with TacFPS fundamentals Please      with  resume and  short bio about yourself 
48,1,Has anyone got  strong  event Pokmon yet Pikachu Charmander Squirtle Send  screen shots  you have 
49,0,Best video youll see all day  
50,0,Omg   appeal for  kiddo came Shes going  flip  Christmas This   clean   
51,0, way  thank you brother theyre dope  
52,1,Internet gear getting upgradedoptimized today   wont   PRETTY PUMPED 
53,1,Did they JUST NOW add farfetchds evolution  Pokmon   was  always there 
54,0,Had  add the shoes  our collection   
55,0,fire stuff    
56,1,Valorant Ranked and Pokemon  PVP  between games  
57,1,Live for  night valorant chill sesh  pwomised   viewers 
58,1,The Big Ninj putting   Cant wait  grind Valorant with these  TimeIn  
59,1,This came  the mail today and   LOVE   does this mean  win the tourney today  think  And man   comfy  
60,1,Valorant ranked and Chill with the cutie pie   
61,1,  get insta    radiant solo and duotrio stacking 
62,1,  you only play  radiant games and win   you think you should  ranked top   play more win more also have the chance  lose more 
63,0,hmmm idk   like these more than the classics but some  these new details are   
64,1, ended  pulling the trigger  hydro cannon for  perfect  swampert for the premiere cup AND THEN  FINISHED  FIELD RESEARCH MISSION AND GOT ANOTHER   used that one   metagross for meteor mash   
65,0,  omg  love these shoes they look amazing  
66,1,FINISHED  MEGA CHARIZARD  RAID DURING THIS ROUND AND  WAS SHINY AND  CAUGHT  Also here   ACE  
67,1,Valorant and Chill  Pokemon  between games  
68,0, Win  pair  Nite Joggers from  new Chase The Spark collection with  join the  Creators Club  enter the raffle Available  selected countries CreatorsClubWeek createdwithadidas  
69,0,  sweatpants came  the mail today  love them  lot     
70,1, GGs bro  
71,0,Ninja couldnt make     now going  against Addison Rae See you all   hours  
72,1,Had  drop out  the creator games today had some unforeseen circumstances happen but mainly there   massive Valorant tournament that  team was lucky enough  receive  invite  and compete against the best teams Thank you  for the invite love  man 
73,0,  use premiere cup what then  hate legendaries 
74,1,  one better than the other  have incredible Pokmon for each category atm 
75,1,Need Pokmon  advice please watch plz help  
76,1,Ill  gaming today valorant grind but  stream   exhausted and want   off screennot live   can just rest more mentally and ima get  GOOOOOD night sleep tonight and   rested for tomorrow  
77,1,Damn  hit radiant this season before  did ggs its been real guys but ima head out 
78,1,This man   Rank  and wins  Premier League battle while   ranked Valorant game   
79,0,The adidasbyNinja Chase the Spark collection  here  hope these shoes will inspire all  you  keep doing what you love and  see where that can take you  createdwithadidasAvailable now    
